smiles,AChE_class,BuChE_class,BACE1_class,MAO_B_class
C#CCN(C)CC(=C)c1cccc(F)c1.O=C(O)C(=O)O,,,,Moderate
C#CCN(C)CC(=C)c1cccc(OC)c1.O=C(O)C(=O)O,,,,Moderate
C#CCN(C)CC(=C)c1cccc(OCc2ccc(F)cc2)c1.O=C(O)C(=O)O,,,,Active
C#CCN(C)CC(=C)c1cccc(OCc2ccc(OC)cc2)c1.O=C(O)C(=O)O,,,,Moderate
C#CCN(C)CC(=C)c1cccc(OCc2cccc(F)c2)c1.O=C(O)C(=O)O,,,,Moderate
C#CCN(C)CC(=C)c1cccc(OCc2cccc(OC)c2)c1.O=C(O)C(=O)O,,,,Moderate
C#CCN(C)CC(=C)c1cccc(OCc2ccccc2)c1.O=C(O)C(=O)O,,,,Moderate
C#CCN(C)CC(=C)c1ccccc1.Cl,,,,Moderate
C#CCN(C)CC(=C)c1cccs1.Cl,,,,Moderate
C#CCN(C)CC(=C)c1ccoc1.O=C(O)C(=O)O,,,,Moderate
C#CCN(C)CCCCCCCCOc1ccc2c(c1)OCCC2=O,,,,Moderate
C#CCN(C)CCCCCCOc1ccc(C(C)=O)cc1,,,,Active
C#CCN(C)CCCCCCOc1ccc(C=O)c(OC)c1,,,,Moderate
C#CCN(C)CCCCCCOc1ccc2c(c1)CCC2=O,,,,Moderate
C#CCN(C)CCCCCCOc1ccc2c(c1)CCCC2=O,,,,Moderate
C#CCN(C)CCCCCCOc1ccc2c(c1)OCC2=O,,,,Active
C#CCN(C)CCCCCCOc1ccc2c(c1)OCCC2=O,,,,Moderate
C#CCN(C)CCCCCOc1ccc(C(C)=O)cc1OC,,,,Moderate
C#CCN(C)CCCCCOc1ccc(C=O)c(OC)c1,,,,Moderate
C#CCN(C)CCCCCOc1ccc2c(c1)CCC2=O,,,,Active
C#CCN(C)CCCCCOc1ccc2c(c1)CCCC2=O,,,,Active
C#CCN(C)CCCCCOc1ccc2c(c1)OCCC2=O,,,,Active
C#CCN(C)CCCCCOc1cccc(OC)c1,,,,Active
C#CCN(C)CCCCOc1ccc(C(C)=O)cc1,,,,Active
C#CCN(C)CCCCOc1ccc(C(C)=O)cc1OC,,,,Moderate
C#CCN(C)CCCCOc1ccc2c(c1)CCC2=O,,,,Moderate
C#CCN(C)CCCCOc1ccc2c(c1)CCCC2=O,,,,Active
C#CCN(C)CCCCOc1ccc2c(c1)OCCC2=O,,,,Active
C#CCN(C)CCCCOc1ccc2ccc(=O)oc2c1,,,,Active
C#CCN(C)CCCOc1cc(C#N)c(Cl)cc1Cl,,,,Inactive
C#CCN(C)CCCOc1cc(NC=O)c(Cl)cc1Cl,,,,Inactive
C#CCN(C)CCCOc1cc(NS(C)(=O)=O)c(Cl)cc1Cl,,,,Inactive
C#CCN(C)CCCOc1ccc(Cl)cc1Cl,,,,Moderate
C#CCN(C)CCCOc1ccc2c(c1)OCCC2=O,,,,Inactive
C#CCN(C)CCCOc1ccc2ccc(=O)oc2c1,,,,Moderate
C#CCN(C)CCCOc1cccc(NC(=O)c2ccccc2)c1,,,,Active
C#CCN(C)CCCc1ccc(O)c2ncccc12,,,,Active
C#CCN(C)CCCc1cn(-c2cc(NC(=S)NCC)ncn2)cn1,,,,Moderate
C#CCN(C)CCOc1ccc2ccc(=O)oc2c1,,,,Moderate
C#CCN(C)CCc1ccc(Cc2cn(C)nn2)cc1,,,,Moderate
C#CCN(C)CCc1ccc(O)c2ncccc12,,,,Active
C#CCN(C)CCc1cccc(OC(=O)N(C)C)c1,Moderate,,,
C#CCN(C)CCc1cccc(OC(=O)N(C)CC)c1,Inactive,,,
C#CCN(C)CCc1cn(-c2cc(NC(=S)NCC)ncn2)cn1,,,,Inactive
C#CCN(C)CCc1cn(Cc2ccccc2)nn1,,,,Moderate
C#CCN(C)Cc1cc2cc(OCCCC3CCN(Cc4ccc(OC(=O)N(C)C)c5ncccc45)CC3)ccc2n1C,Moderate,Moderate,,Moderate
C#CCN(C)Cc1cc2cc(OCCCC3CCN(Cc4ccc(OC)c5ncccc45)CC3)ccc2n1C,,,,Moderate
C#CCN(C)Cc1cc2cc(OCCCC3CCN(Cc4ccccc4)CC3)ccc2[nH]1,Inactive,Moderate,,Inactive
C#CCN(C)Cc1cc2cc(OCCCC3CCN(Cc4ccccc4)CC3)ccc2n1C,Moderate,Moderate,Moderate,Moderate
C#CCN(C)Cc1cc2cc(OCCCC3CCN(Cc4ccccc4C)CC3)ccc2n1C,Moderate,Moderate,,Moderate
C#CCN(C)Cc1cc2cc(OCCCN3CCCCC3)ccc2n1C,Moderate,Moderate,,Moderate
C#CCN(C)Cc1ccc(Br)cc1,,,,Moderate
C#CCN(C)Cc1ccc(C(=O)NC2CC(C)(C)N([O])C(C)(C)C2)cc1,,,,Inactive
C#CCN(C)Cc1ccc(C(=O)c2ccc(OC)c(OC)c2)cc1,Inactive,,,
C#CCN(C)Cc1ccc(Cc2cn(C)nn2)cc1,,,,Moderate
C#CCN(C)Cc1ccc(O)c2ncccc12,Moderate,,Moderate,Moderate
C#CCN(C)Cc1ccc(OC(=O)N(C)C)c2ncccc12,Moderate,Moderate,,
C#CCN(C)Cc1ccc(OC)c2ncccc12,,,,Active
C#CCN(C)Cc1ccc(OCCCCCN2CCN(c3cccc4c3ccn4Cc3cccc(Cl)c3)CC2)cc1,,,,Active
C#CCN(C)Cc1ccc(OCCCCCN2CCN(c3cccc4c3ccn4S(=O)(=O)c3ccccc3)CC2)cc1,,,,Moderate
C#CCN(C)Cc1ccc(OCCCCN2CCN(c3cccc4c3ccn4Cc3cccc(Cl)c3)CC2)cc1,,,,Moderate
C#CCN(C)Cc1cccc(Cc2cn(C)nn2)c1,,,,Inactive
C#CCN(C)Cc1cccc(NC(=O)CCCCCCC(=O)NO)c1,,,,Inactive
C#CCN(C)Cc1ccccc1,,,,Moderate
C#CCN(C)Cc1ccnc2c(O)cccc12,,,,Active
C#CCN(C)Cc1cn(-c2cc(NC(=S)NCC)ncn2)cn1,,,,Moderate
C#CCN(C)Cc1cn(CCc2ccccc2)nn1,,,,Inactive
C#CCN(C)Cc1nnn(C)c1CCCC,,,,Inactive
C#CCN(C)[C@@H](C)Cc1cccc(OC(=O)N(C)C2CCCCC2)c1,Moderate,,,
C#CCN(C)[C@@H](C)Cc1cccc(OC(=O)N(C)CCCCCC)c1,Moderate,,,
C#CCN(C)[C@@H](C)Cc1ccccc1,,,,Active
C#CCN(C)[C@@H]1CCc2ccccc21,,,,Moderate
C#CCN(C)[C@H](C)Cc1ccc(NCc2cc(Cl)ccc2O)cc1,,,,Moderate
C#CCN(C)[C@H](C)Cc1ccc(NCc2cc(O)ccc2O)cc1,,,,Moderate
C#CCN(C)[C@H](C)Cc1ccc(NCc2cc(OC)ccc2O)cc1,,,,Moderate
C#CCN(C)[C@H](C)Cc1ccc(NCc2cc([N+](=O)[O-])ccc2O)cc1,,,,Moderate
C#CCN(C)[C@H](C)Cc1ccc(NCc2ccccc2O)cc1,,,,Moderate
C#CCN(C)[C@H](C)Cc1ccc(NCc2ncccc2C)cc1,,,,Moderate
C#CCN(C)[C@H](C)Cc1ccc(NCc2ncccc2OC)cc1,,,,Moderate
C#CCN(C)[C@H](C)Cc1ccc(OCCCCCCCCCCNc2c3c(nc4ccccc24)CCCC3)cc1,,,,Moderate
C#CCN(C)[C@H](C)Cc1ccc(OCCCCCCCCCNc2c3c(nc4ccccc24)CCCC3)cc1,,,,Moderate
C#CCN(C)[C@H](C)Cc1ccc(OCCCCCCCCNc2c3c(nc4cc(Cl)ccc24)CCCC3)cc1,,,,Active
C#CCN(C)[C@H](C)Cc1ccc(OCCCCCCCCNc2c3c(nc4ccccc24)CCCC3)cc1,,,,Moderate
C#CCN(C)[C@H](C)Cc1ccc(OCCCCCCNc2c3c(nc4cc(Cl)ccc24)CCCC3)cc1,,,,Moderate
C#CCN(C)[C@H](C)Cc1ccc(OCCCCCCNc2c3c(nc4ccccc24)CCCC3)cc1,,,,Moderate
C#CCN(C)[C@H](C)Cc1ccc(OCCCCCNc2c3c(nc4cc(Cl)ccc24)CCCC3)cc1,,,,Moderate
C#CCN(C)[C@H](C)Cc1ccc(OCCCCCNc2c3c(nc4ccccc24)CCCC3)cc1,,,,Moderate
C#CCN(C)[C@H](C)Cc1ccc(OCCCCNc2c3c(nc4ccccc24)CCCC3)cc1,,,,Moderate
C#CCN(C)[C@H](C)Cc1ccc(OCCCNc2c3c(nc4cc(Cl)ccc24)CCCC3)cc1,,,,Inactive
C#CCN(C)[C@H](C)Cc1ccc(OCCCNc2c3c(nc4ccccc24)CCCC3)cc1,,,,Moderate
C#CCN(C)[C@H](C)Cc1ccc(OCCNc2c3c(nc4ccccc24)CCCC3)cc1,,,,Moderate
C#CCN(C)[C@H](C)Cc1ccc(OCc2ccccc2)cc1,,,,Active
C#CCN(C)[C@H](C)Cc1cccc(OC(=O)N(C)C2CCCCC2)c1,Moderate,,,
C#CCN(C)[C@H](C)Cc1cccc(OC(=O)N(C)CCCCCC)c1,Moderate,,,
C#CCN(C)[C@H](C)Cc1ccccc1,,,,Active
C#CCN(C)[C@H](C)Cc1ccccc1.Cl,,,,Active
C#CCN(C)[C@H](CF)CC(=C)C,,,,Moderate
C#CCN(C)[C@H](CF)CC(C)C,,,,Moderate
C#CCN(C)[C@H](CF)Cc1ccccc1,,,,Moderate
C#CCN(C)[C@H](CF)Cc1ccco1,,,,Moderate
C#CCN(C)c1ccc(/C=C/c2cnc(C)c3c2COC(C)(C)O3)cc1,,,,Active
C#CCN(C)c1nc(NCCCCC2CCN(Cc3ccccc3)CC2)c(C#N)cc1C#N,,,,Moderate
C#CCN(C)c1nc2nc(CCC3CCN(Cc4ccccc4)CC3)ccc2c(-c2ccccc2)c1C#N,,,,Active
C#CCN(CC#C)C(=O)Oc1cccc2c(CN(C)CCC3CCCCCC3)c[nH]c12,Moderate,Active,,
C#CCN(CC)C(=O)Oc1cccc2c(CN(C)CCC3CCCCCC3)c[nH]c12,Moderate,Active,,
C#CCN(CC)C1CCc2ccc(OC(=O)N(C)C)cc21.Cl,Inactive,,,
C#CCN(CCC1CCN(Cc2ccccc2)CC1)Cc1ccc2cccc(O)c2n1,Moderate,Active,,
C#CCN(CCCC1CCN(Cc2ccccc2)CC1)Cc1ccc2cccc(O)c2n1,Moderate,Active,,
